Claim_Amount,Annual_Income,Suspicious_Flags,Claim_to_Income_Ratio,Days_Since_Issuance,Claim_Type_Auto,Claim_Type_Home,Claim_Type_Life,Claim_Type_Medical,Elliptic_Outlier,IsoForest_Outlier,LOF_Outlier,Anomaly_Flag,Anomaly_Score,Actual_Label,Fraud_Score,Predicted_Label
37986,99862,1,0.380384931205063,7852,False,True,False,False,0,0,0,0,0,0,0.41288155241819846,0
1294,87281,0,0.014825677982607898,5372,False,True,False,False,0,0,1,1,1,0,0.6939032254114629,1
10773,53712,0,0.2005697050938338,860,True,False,False,False,0,0,0,0,0,1,0.45859692918578804,1
6215,46372,1,0.1340248425774174,4216,False,True,False,False,0,0,0,0,0,1,0.4150565514126444,1
29442,122643,0,0.24006262077737825,395,False,False,False,True,0,0,0,0,0,1,0.5273363158173688,1
44168,96471,1,0.45783707020762715,2220,False,False,False,True,0,0,0,0,0,0,0.28665449339575255,0
38190,125114,1,0.3052416196428857,7768,False,True,False,False,0,0,0,0,0,1,0.4145434724995317,1
49149,79870,0,0.6153624640040065,2088,False,False,False,True,0,0,0,0,0,1,0.6432772946909562,1
4580,68012,0,0.06734105746044816,670,False,True,False,False,0,0,0,0,0,1,0.4737422773215535,1
32907,147433,1,0.2231996907069652,2607,False,True,False,False,0,0,0,0,0,1,0.5489721702749474,1
45503,143141,1,0.31788935385389233,6368,True,False,False,False,0,0,0,0,0,0,0.5126472054896662,1
23308,38074,0,0.6121762882807165,1329,False,True,False,False,0,0,0,0,0,1,0.5803040148619599,1
14237,118363,1,0.12028252072015748,1358,False,True,False,False,0,0,0,0,0,1,0.5019932521709464,1
2122,37217,1,0.0570169546175135,4369,True,False,False,False,0,0,1,1,1,0,0.6821864665531338,1
8891,149155,1,0.059609131440447854,310,True,False,False,False,0,0,0,0,0,1,0.6033291482976999,1
18264,102355,1,0.17843779004445312,408,True,False,False,False,0,0,0,0,0,0,0.5516430411898318,1
23828,57553,0,0.4140183830556183,748,False,True,False,False,0,0,0,0,0,0,0.4691691613466031,1
42017,83345,1,0.504133421321015,6193,False,False,True,False,0,0,0,0,0,0,0.2957949888855391,0
43560,82572,1,0.5275396018020636,2126,False,True,False,False,0,0,0,0,0,0,0.31982277753712984,0
29828,106969,0,0.2788471426301078,238,False,False,False,True,0,0,0,0,0,0,0.4644813868528286,1
2431,65874,0,0.036903786015727,126,True,False,False,False,0,0,0,0,0,0,0.5679450144503517,1
23007,138013,1,0.16670168752218995,633,True,False,False,False,0,0,0,0,0,1,0.6218342098049927,1
43866,110156,0,0.39821707396782746,2263,True,False,False,False,0,0,0,0,0,0,0.4134640433668753,0
17679,69067,0,0.25596884184921886,2998,False,False,True,False,0,0,0,0,0,1,0.4946817520483979,1
5989,96022,1,0.06237112328424736,2024,True,False,False,False,0,0,0,0,0,1,0.6517247483882025,1
32451,99313,1,0.32675480551388036,4342,False,False,True,False,0,0,0,0,0,1,0.45634496612791914,1
40951,59447,0,0.6888657123151715,6375,True,False,False,False,0,0,0,0,0,1,0.4545854827785111,1
45824,129331,0,0.3543156706435425,46,False,False,True,False,0,0,0,0,0,1,0.7385154066105708,1
20009,113991,0,0.17553140160188085,2397,True,False,False,False,0,0,0,0,0,0,0.5748360894862445,1
30179,82020,0,0.3679468422336016,162,False,False,False,True,0,0,0,0,0,0,0.5189154996226476,1
34065,112336,1,0.3032420595356787,2920,True,False,False,False,0,0,0,0,0,1,0.5799560321829361,1
39271,144470,0,0.27182806118917424,2772,False,False,True,False,0,0,0,0,0,1,0.5420540904387275,1
46132,131128,0,0.35180891952900983,1040,False,False,False,True,0,0,0,0,0,1,0.6045701977542122,1
38134,40023,0,0.9528021387702071,798,False,False,False,True,0,0,0,0,0,0,0.5488446985510084,1
20006,134926,0,0.14827386863910588,2273,False,False,True,False,0,0,0,0,0,1,0.5768998493221893,1
34459,128723,0,0.26769885723608056,1959,False,True,False,False,0,0,0,0,0,0,0.5670208229983152,1
37116,100916,0,0.36779103412739306,2881,False,False,True,False,0,0,0,0,0,1,0.5366016590891779,1
31815,50458,1,0.6305243965278053,460,False,True,False,False,0,0,0,0,0,0,0.5624051979353745,1
34510,59102,0,0.5839057899901865,1338,False,True,False,False,0,0,0,0,0,1,0.5747536727184208,1
16700,136327,1,0.12249957822001512,2000,False,True,False,False,0,0,0,0,0,1,0.5616093574288725,1
17836,148546,1,0.12007055053653413,221,True,False,False,False,0,0,0,0,0,1,0.6190843990221133,1
26783,90789,1,0.2950026985648041,35,True,False,False,False,0,0,0,0,0,1,0.6693915657224186,1
6111,130415,0,0.04685810681286662,33,False,False,False,True,0,0,0,0,0,0,0.5965364925288936,1
38529,107088,0,0.35978821156432095,1084,True,False,False,False,0,0,0,0,0,0,0.4544889355116876,1
24947,142080,0,0.17558417792792794,4625,False,True,False,False,0,0,0,0,0,1,0.4459285783637046,1
1271,77337,0,0.016434565602492984,525,False,True,False,False,0,0,1,1,1,1,0.7208916189789397,1
38327,35708,1,1.073344908703932,2450,False,False,False,True,1,0,0,1,1,0,0.50757633619989,1
45235,74064,1,0.6107555627565349,7862,False,False,False,True,0,0,0,0,0,1,0.5593696468765785,1
19836,61152,0,0.32437205651491363,1720,False,False,False,True,0,0,0,0,0,0,0.476204277007597,1
38592,89808,1,0.42971672902191344,1579,False,True,False,False,0,0,0,0,0,0,0.2929054551476732,0
19456,143213,1,0.13585358871052208,3347,False,False,True,False,0,0,0,0,0,0,0.5397912666567807,1
10916,110720,1,0.09859104046242774,2973,True,False,False,False,0,0,0,0,0,0,0.42284148928273574,1
40679,48500,0,0.8387422680412371,917,True,False,False,False,0,0,0,0,0,0,0.5181959959444733,1
42485,110003,1,0.38621673954346697,2432,False,False,True,False,0,0,0,0,0,1,0.4155656142287669,1
6752,64726,1,0.10431665791181287,896,True,False,False,False,0,0,0,0,0,1,0.44660923627081184,1
18973,71773,0,0.2643473172362866,4317,False,False,True,False,0,0,0,0,0,1,0.58113981078513,1
35187,73605,1,0.4780517627878541,3713,False,True,False,False,0,0,0,0,0,0,0.6918035823697922,1
10507,81428,1,0.12903423883676376,5579,False,False,False,True,0,0,0,0,0,0,0.3841876503038159,0
22781,142763,1,0.15957215805215638,777,True,False,False,False,0,0,0,0,0,1,0.601428888585338,1
31189,73611,0,0.423700262189075,1095,False,True,False,False,0,0,0,0,0,1,0.6633351351192711,1
2231,64387,1,0.03464985167813379,6646,False,False,True,False,0,0,0,0,0,1,0.6473037073837239,1
47447,32561,1,1.4571726912564111,3262,False,False,True,False,1,1,1,1,3,0,0.593974715076532,1
2938,38774,1,0.07577242482075618,160,True,False,False,False,0,0,0,0,0,1,0.5478007732024168,1
16911,149126,0,0.11340074836044688,3168,False,True,False,False,0,0,0,0,0,0,0.5315418870320525,1
10874,32464,1,0.3349556431739773,481,False,True,False,False,0,0,0,0,0,1,0.4452583892248227,1
42511,74166,0,0.5731871747161772,3825,False,False,True,False,0,0,0,0,0,1,0.6463821461442167,1
34783,94404,1,0.3684483708317444,7196,False,True,False,False,0,0,0,0,0,0,0.486367610690514,1
18205,53056,0,0.34312801568154405,206,False,True,False,False,0,0,0,0,0,1,0.5464083775695817,1
14668,69917,1,0.2097916100519187,2239,False,False,True,False,0,0,0,0,0,1,0.5453232394792458,1
28554,58371,1,0.48918127152181734,11,False,False,True,False,0,0,0,0,0,0,0.6999282364185654,1
21560,43484,0,0.49581455247907275,189,False,False,False,True,0,0,0,0,0,1,0.48205064563032973,1
10011,140814,1,0.07109378328859346,54,False,True,False,False,0,0,0,0,0,1,0.7104281987891686,1
41698,59231,0,0.7039894649761105,707,False,True,False,False,0,0,0,0,0,0,0.5027104624659149,1
5100,140691,0,0.03624965349595923,7040,False,True,False,False,0,1,0,1,1,1,0.7045952375198467,1
43076,121342,0,0.3549966211204694,815,False,False,False,True,0,0,0,0,0,1,0.5289265380525281,1
8266,146467,1,0.056435920719342926,249,False,False,False,True,0,0,0,0,0,1,0.5229664258707766,1
16465,96307,0,0.1709636890361033,2598,True,False,False,False,0,0,0,0,0,0,0.5067398480481885,1
32098,129779,0,0.24732815016296936,867,False,False,False,True,0,0,0,0,0,1,0.577529024513075,1
29241,79465,0,0.36797332158812057,3278,False,False,False,True,0,0,0,0,0,0,0.6053075368288485,1
37776,68804,1,0.5490378466368234,43,False,False,True,False,0,0,0,0,0,0,0.7146299542504311,1
19272,130294,1,0.1479116459698835,99,True,False,False,False,0,0,0,0,0,0,0.748075773728532,1
6807,86441,1,0.0787473536863294,2872,False,False,False,True,0,0,0,0,0,0,0.39265476300916324,0
32977,48085,0,0.6858063845273994,7309,False,False,False,True,0,0,0,0,0,1,0.5239221814575801,1
45794,134380,0,0.34077987795802944,1952,False,False,True,False,0,0,0,0,0,1,0.5817746594281404,1
30966,32569,0,0.9507814179127391,3912,True,False,False,False,1,0,0,1,1,1,0.5583986105926679,1
22529,68595,0,0.3284350171295284,610,False,False,False,True,0,0,0,0,0,1,0.5556303692268422,1
1053,64588,0,0.016303338081377346,6886,False,False,False,True,0,1,0,1,1,0,0.700866701049725,1
49926,97891,0,0.5100162425554954,962,False,True,False,False,0,0,1,1,1,0,0.3913987893836232,0
30242,42682,1,0.7085422426315543,1278,False,False,True,False,0,0,0,0,0,0,0.6036742868925767,1
14851,63251,0,0.2347947068030545,295,False,True,False,False,0,0,0,0,0,0,0.5523426883860947,1
4213,39574,1,0.10645878607166322,960,False,False,False,True,0,0,0,0,0,0,0.4674813523892314,1
4923,124645,0,0.039496169120301655,3821,False,True,False,False,0,0,0,0,0,1,0.680766909619568,1
40966,131268,0,0.3120791053417436,8547,False,False,True,False,0,1,0,1,1,0,0.5550261133733695,1
21794,99247,1,0.2195935393513154,5827,False,True,False,False,0,0,0,0,0,0,0.4056990355495888,0
5972,137670,0,0.04337909493716859,92,False,False,False,True,0,0,0,0,0,0,0.5965364925288936,1
32239,87593,0,0.36805452490495816,1357,False,True,False,False,0,0,0,0,0,1,0.5358698384342384,1
16954,46083,0,0.36790139530846516,2806,False,True,False,False,0,0,0,0,0,0,0.479701964722575,1
15474,49836,0,0.31049843486636164,65,True,False,False,False,0,0,0,0,0,0,0.6783361853932925,1
17169,106376,1,0.1613991877867188,2379,False,False,True,False,0,0,0,0,0,0,0.5225730895373631,1
5943,79383,0,0.07486489550659461,838,False,True,False,False,0,0,1,1,1,1,0.5926584323490248,1
